YEAR,New York City,Los Angeles,Cook,Miami-Dade,Maricopa,Suffolk,Orange,Harris,Nassau,Dallas
8-May,187157,30296,50267,13663,5525,51167,14662,7656,37872,6121
9-May,188663,31197,51705,13840,5779,51580,14899,7868,38088,6384
10-May,189656,31677,52687,14006,5827,51981,15074,7944,38277,6657
11-May,190546,32258,53413,14166,5988,52267,15244,8243,38398,6949
12-May,191320,33180,55502,14384,6219,52516,15401,8484,38495,7198
13-May,192394,34428,56438,14467,6341,52892,15624,8694,38649,7475
14-May,193663,35329,58489,14741,6599,53425,15914,8891,38806,7727
15-May,195472,36259,59937,15010,6821,53715,16151,9125,38929,7933
16-May,196481,37303,61244,15365,7096,54288,16342,9201,39098,8171
17-May,197486,37974,62250,15657,7240,54596,16558,9539,39202,8380
18-May,198114,38451,63721,15863,7340,54895,16680,9709,39291,8621
19-May,198710,39573,64722,15941,7482,55152,16828,9933,39361,8862
20-May,199392,40857,66248,16033,7644,55373,17090,10170,39437,9072
21-May,200507,42037,67591,16366,7835,55642,17283,10361,39556,9271
22-May,201298,43052,68993,16521,7950,55852,17460,10605,39677,9483
23-May,202062,44055,70461,16693,8177,56093,17735,10850,39795,9664
24-May,202931,44988,72056,16844,8277,56381,17995,11004,39907,9880
25-May,203569,46018,73143,17040,8379,56570,18178,11004,39977,10072
26-May,204111,47822,73864,17167,8448,56732,18368,11365,40044,10277
27-May,204781,48700,74568,17224,8627,56854,18469,11630,40106,10494
28-May,205854,49774,75354,17395,8896,57057,18732,11859,40214,10714
29-May,206800,51562,76314,17640,9112,57231,19021,12100,40300,10934
30-May,207539,53651,77167,17825,9522,57405,19230,12311,40382,11170
31-May,208085,54996,77973,17999,9815,57579,19463,12367,40472,11415
1-Jun,208550,55968,78542,18138,9937,58286,19701,12765,40555,11661
2-Jun,209195,57118,79720,18223,10536,58616,19860,13129,40652,11932
3-Jun,209688,58234,80249,18455,11068,58795,20100,13379,40725,12180
4-Jun,210227,59650,80760,18778,11229,58943,20321,13723,40795,12492
5-Jun,210728,61045,81395,19055,12091,59097,20639,14059,40879,12804
6-Jun,211274,62338,81980,19298,12761,59233,20916,14548,40935,13100
7-Jun,211728,63844,82484,19546,13498,59330,21178,14711,40986,13382
8-Jun,212122,64644,82875,19755,14003,59405,21323,15048,41029,13658
9-Jun,212469,65822,83328,19979,14374,59493,21551,15381,41063,13979
10-Jun,212884,67064,83644,20276,15282,59563,21867,15725,41099,14307
11-Jun,213271,68875,84040,20547,16148,59707,22255,16049,41146,14662
12-Jun,213707,70476,84316,20871,17023,59808,22461,16378,41201,15024
13-Jun,214242,72023,84653,21632,17791,59914,22780,16764,41262,15409
14-Jun,214627,73018,84979,21916,18692,59994,23149,16979,41296,15757
15-Jun,215011,73791,85260,22196,19372,60026,23486,17485,41333,16082
16-Jun,215342,75084,85617,22740,20775,60105,23892,17917,41384,16411
17-Jun,215686,77189,85941,23272,22272,60204,24277,18383,41416,16848
18-Jun,216013,78227,86266,23853,23890,60287,24712,18784,41446,17280
19-Jun,216421,79609,86641,24375,25999,60357,25425,19979,41488,17715
20-Jun,216803,81636,86976,25079,28303,60436,26154,21114,41554,18145
21-Jun,217189,83397,87269,25789,30136,60523,26959,21296,41594,18567
22-Jun,217487,85942,87522,26238,31650,60577,27392,23299,41633,19042
23-Jun,217803,88262,87889,26821,33883,60657,27904,24690,41670,19512
24-Jun,218089,89490,88249,27778,34993,60729,28826,26067,41713,19936
25-Jun,218429,91467,88765,28663,37135,60815,30313,27303,41782,20387
26-Jun,218799,93232,89192,30195,39626,60915,31852,28551,41830,20911
27-Jun,219157,95371,89534,31561,42374,61017,33323,29467,41883,21515
28-Jun,219481,97894,89886,33713,44962,61101,34471,29582,41923,22112
